model,scenario,timestamp,gpu_exp,success,final_score,driving_mile,complete_percentage,driving_time,decision_time,comfort_score,efficiency_score,safety_score,red_light_penalty,speed_limit_penalty,fail_penalty,exp_dir
interfuser,straight,20250110_003814,gpu3_exp8,True,52.094,341.933,100.0,42.4,0.10351093328309116,0.173,0.221,0.5,1.0,0.583,1.0,interfuser_straight_20250110_003814_gpu3_exp8
interfuser,straight,20250110_003814,gpu0_exp1,True,50.357,341.933,100.0,42.5,0.10955403435905024,0.164,0.248,0.5,1.0,0.552,1.0,interfuser_straight_20250110_003814_gpu0_exp1
Limsimtm,straight,20250109_003211,gpu3_exp10,True,95.947,341.933,100.0,38.0,0.057673447840922584,0.249,0.21,0.5,1.0,1.0,1.0,Limsimtm_straight_20250109_003211_gpu3_exp10
interfuser,roundabout,20250110_003814,gpu1_exp4,False,2.403,18.502,12.586,4.8,0.1312763031492842,0.177,0.235,0.5,1.0,0.349,0.6,interfuser_roundabout_20250110_003814_gpu1_exp4
Limsimtm,curve,20250109_003211,gpu1_exp5,True,93.992,247.67,100.0,27.8,0.06409269792062265,0.198,0.242,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu1_exp5
interfuser,straight,20250110_003814,gpu0_exp2,True,59.724,341.933,100.0,42.5,0.10296988993320826,0.171,0.235,0.49,1.0,0.667,1.0,interfuser_straight_20250110_003814_gpu0_exp2
VLMagentCloseLoop,ramp,20250109_003211,gpu0_exp3,True,52.576,192.728,100.0,24.0,19.23214614391327,0.167,0.163,0.5,0.7,0.905,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu0_exp3
Limsimtm,intersection,20250109_003211,gpu1_exp4,True,85.741,103.422,100.0,19.5,0.035272297106291116,0.205,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu1_exp4
interfuser,long,term_20250110,003814_gpu3_exp8,True,40.675,1002.987,100.0,236.8,0.10801127141268384,0.186,0.204,0.47,0.49,0.964,1.0,interfuser_long_term_20250110_003814_gpu3_exp8
Limsimtm,ramp,20250109_003211,gpu1_exp5,True,87.991,192.728,100.0,37.1,0.119289527068267,0.196,0.243,0.441,1.0,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu1_exp5
